id,seconds,views,likes,comments
9vB-48kHbBU,829,54418062,928086,50622
X1jMMFOqxEw,903,92759192,2158975,50048
P4qWhSZ7_WA,846,86162309,1367280,49576
P4qWhSZ7_WA,846,86162309,1367280,49576
anFxsa5jXrE,1028,71845651,1324689,49545
NZR4WEjpOQg,615,28869730,735912,49482
LdMx2U5tby0,1079,79723782,1826700,48182
GUWGsIVEMSQ,923,64588022,1377667,48151
GUWGsIVEMSQ,923,64588022,1377667,48151
NbaWrbJDr48,946,49275426,1202564,47812
uE6gud1voDs,723,39714916,1067119,47639
uE6gud1voDs,723,39714916,1067119,47639
vETSAZgfDP4,680,30133231,602242,46185
LU_xVr4b2qM,776,54521829,1436159,46098
oI6aXhowFDY,818,67041958,1450713,44487
i2O6GMpNWGo,1109,71745185,1371597,44302
mpZWt5pGKZ8,351,24150678,665682,44254
mpZWt5pGKZ8,351,24150678,665682,44254
XaxhLbxZ13k,1050,57359031,1097901,43997
NS3hse9ezik,872,42663444,1024261,43030
KzwTYZ2W3ZA,604,10839661,417870,42810
HfJMs4mrSJM,458,62502385,1282091,42358
uotb9ZHnI2g,769,21665288,678066,41836
q0OK-zHnvnA,613,60674883,981980,39103
Lx9fRu5ehFo,158,22953310,582620,38139
97Gh93Daio0,634,15956954,400902,37412
Izmibu7dxcs,912,36327719,588243,36674
fWcSBWadolA,886,35878816,1026780,36349
xpNeg0hPZIs,932,31104058,872777,35715
9-HphHIJS9c,914,14038257,485758,35392
9GD6hbqu2oM,878,37343693,844625,34343
8TFq_vvO_Wg,187,10953561,434878,33521
8TFq_vvO_Wg,187,10953561,434878,33521
-0zoWMSEOGg,1113,15049764,353912,33235
b91vrgVY-ZQ,1187,49047821,930096,32951
b91vrgVY-ZQ,1187,49047821,930096,32951
uBC7805Smsg,903,12798771,396284,31579
rqUvnLPvbrM,2009,5799526,305454,26108
gKVZz4kcuns,787,16997867,480292,26100
AS6WMS_Bemg,501,26928544,1101599,25163
d7QmQtNwhcU,623,24391194,500404,25163
yUXIx2l8kko,729,33946503,592804,23978
koRKIlRQj4g,431,23717561,532077,23953
wDqJZ_2ZA3A,1052,16658791,418821,23161
Pe3pGsCeYXg,610,8486338,229209,22969
dFr5YQaQQdo,822,14142927,333063,21838
9yrdFAJUSaU,854,29240368,834320,21552
tBEBc4KQVsU,982,38328312,654619,19884
tBEBc4KQVsU,982,38328312,654619,19884
UlUcwJc5nBs,1132,26058263,464777,19078
rH1D_3G56DY,630,31253076,512955,18067
sg_XFT4K3N4,711,7497101,240507,17835
bFZdU9dr4OM,775,25522152,480682,16674
PJyWmlWNor8,612,8221419,702067,16243
PJyWmlWNor8,612,8221419,702067,16243
2IGxSOfsBok,126,2660347,220560,15901
2O8wta4FsD4,326,2440007,184985,13369
t4OumncEiKo,734,14751108,291593,12424
fG1N5kzeAhM,145,1720103,113655,12064
fG1N5kzeAhM,145,1720103,113655,12064
BMZP4CtphaU,604,7027186,195098,11227
5PCxQSMOl3o,207,5020906,182676,10353
DoIQMkoYSzw,335,3453554,120404,8072
t8aM4HuVLrQ,52,360054,15298,3081
t8aM4HuVLrQ,52,360054,15298,3081
NiqkH7qVW0U,257,378886,7538,2844
bEIK5ni_Pzs,236,1711032,16809,2775
Y74b7WlcEpk,126,508657,21805,2586
Y74b7WlcEpk,126,508657,21805,2586
GxTVDClFXuc,332,246087,16990,2429
TZPlDuYrcDQ,302,512942,16737,2286
XKSJRulqDNA,273,188255,8126,1379
pzlPJmNyepA,424,243103,10321,940
uUIlb2rpIuY,154,142709,5172,741
9zFfp3gzZ88,256,104983,6832,653
x4IXCimma-s,264,115490,3398,634
x4IXCimma-s,264,115490,3398,634
1UygJmcHUdQ,129,234742,8733,626
Kgu2ApayYvI,250,84770,2929,497
Kgu2ApayYvI,250,84770,2929,497
ep7S1XnuQLU,184,68280,1890,457
ep7S1XnuQLU,184,68280,1890,457
p6bzNpgbX8Y,261,104858,3145,441
v3tbnlc5cfo,215,35238,1612,425
gYaxI_allkQ,138,336265,5978,421
gYaxI_allkQ,138,336265,5978,421
vZrL_FFITgs,248,24379,724,392
bIZ5_L1ru2w,149,52419,1799,333
BqS4iVHa-LU,175,51573,2143,318
moMJjt5KECc,242,102688,2564,295
anZbhN0Wh_4,207,155556,3085,284
dPxAFqs2eYE,100,37057,1560,213
G7Y9ban7b0U,142,24967,630,160
yyJ7xEcENNI,233,74080,1458,152
yeHjsYQ076A,216,16312,574,145
HuLAAXZXIy0,77,35121,784,139
56OkH6ocYZU,109,16627,430,134
ZQZzR0DUujc,151,13954,374,118
AIytwdufwW8,292,18502,508,117
X7doE4h6W64,134,15740,637,105
lfD7kMZKuNg,199,20549,571,92
lfD7kMZKuNg,199,20549,571,92
w40Z8aT5fpQ,204,17555,688,90
w40Z8aT5fpQ,204,17555,688,90
zi7tZ-2PhLk,304,18773,370,59
